sample_id,clay_pct,sand_pct,date_sampled
240336B,5.67,85,"June 5, 2024"
240337A,12.2,75.6,"June 5, 2024"
240337B,43.8,37.2,"June 5, 2024"
240338A,47.1,42.2,"June 5, 2024"
240338B,45.8,43.7,"June 5, 2024"
240339A,67.1,27.2,"June 5, 2024"
240339B,67.8,26.5,"June 5, 2024"
240340A,77.5,19.2,"June 5, 2024"
240340B,79,18.4,"June 5, 2024"
250353A,30.9,58.1,"June 5th, 2025"
250353B,31.7,57.1,"June 5th, 2025"
250354A,6.55,83.8,"June 5th, 2025"
250354B,6.47,84,"June 5th, 2025"
250355A,31.3,55.4,"June 5th, 2025"
250355B,29.7,57.2,"June 5th, 2025"
250356A,27.1,59,"June 5th, 2025"
250356B,27.1,57.9,"June 5th, 2025"
250357A,32.4,57.2,"June 5th, 2025"
250357B,32.4,57.3,"June 5th, 2025"
250358A,30.2,59.4,"June 5th, 2025"
250358B,29.5,61.3,"June 5th, 2025"
250359A,5.23,86.8,"June 5th, 2025"
250359B,5.05,87.3,"June 5th, 2025"
250360A,18.3,67.9,"June 5th, 2025"
250360B,16.8,70.1,"June 5th, 2025"
250361A,25.2,61.8,"June 5th, 2025"
250361B,25.6,60.8,"June 5th, 2025"
250362B,29.2,58.4,"June 5th, 2025"
250362B,28.7,58.9,"June 5th, 2025"
250363A,32.3,57.9,"June 5th, 2025"
250363B,34.4,55.9,"June 5th, 2025"
250364A,39.8,50.8,"June 5th, 2025"
250364B,38.4,53,"June 5th, 2025"
250365A,3.87,89.5,"June 5th, 2025"
250365B,4.35,88.6,"June 5th, 2025"
250366A,23.7,63.4,"June 5th, 2025"
250366B,25.8,61.3,"June 5th, 2025"
250367A,37.3,51.2,"June 5th, 2025"
250367B,37.1,51.4,"June 5th, 2025"
230048C,54.6,37.8,"May 21st, 2025"
230048D,53.7,37.4,"May 21st, 2025"
230050C,52,39.8,"May 21st, 2025"
230050D,56.1,35,"May 21st, 2025"
250198B,43.6,44.1,"May 21st, 2025"
250198B,44.4,43.5,"May 21st, 2025"
250199A,60.4,30.4,"May 21st, 2025"
250199B,56.1,34.5,"May 21st, 2025"
250200A,77.2,18.8,"May 21st, 2025"
250200B,76.5,19.6,"May 21st, 2025"
250202B,53.4,35.6,"May 21st, 2025"
250207A,37.5,48,"May 21st, 2025"
250207B,37,48.4,"May 21st, 2025"
250209A,68.7,27.3,"May 21st, 2025"
250209B,73.5,21.8,"May 21st, 2025"
250211A,44.6,45.5,"May 21st, 2025"
250211B,47.3,42.3,"May 21st, 2025"
250222A,9.63,83.5,"May 21st, 2025"
250222B,8.44,84.9,"May 21st, 2025"
250223A,20.9,72.5,"May 21st, 2025"
250223B,21.9,71.5,"May 21st, 2025"
250224A,44.5,51.6,"May 21st, 2025"
250224B,39.3,56.9,"May 21st, 2025"
250237B,54,36.6,"May 21st, 2025"
250255A,38.2,49,"May 21st, 2025"
250255B,43.3,43.5,"May 21st, 2025"
250261A,8.3,83.5,"May 21st, 2025"
250261B,9.16,82.7,"May 21st, 2025"
250202C,48.3,40.8,"May 23rd, 2025"
250214A,7.18,85.7,"May 23rd, 2025"
250214B,10.4,82.5,"May 23rd, 2025"
250215A,19,74.4,"May 23rd, 2025"
250215B,20.1,73.7,"May 23rd, 2025"
250216A,11.5,82.1,"May 23rd, 2025"
250216B,10.8,83.1,"May 23rd, 2025"
250217A,7.75,86.1,"May 23rd, 2025"
250217B,4.77,90.1,"May 23rd, 2025"
250218A,48.5,42.6,"May 23rd, 2025"
250218B,47.4,46.6,"May 23rd, 2025"
250219A,4.73,90.3,"May 23rd, 2025"
250219B,4.34,90.7,"May 23rd, 2025"
250225A,6.52,89.1,"May 23rd, 2025"
250225B,6.01,89.9,"May 23rd, 2025"
250226A,6.58,87.3,"May 23rd, 2025"
250226B,5.31,88.8,"May 23rd, 2025"
250227A,8.12,84.7,"May 23rd, 2025"
250227B,7.44,85.7,"May 23rd, 2025"
250228A,8.28,84.6,"May 23rd, 2025"
250228B,5.83,87.5,"May 23rd, 2025"
250229A,22.8,72.3,"May 23rd, 2025"
250229B,21.5,73.4,"May 23rd, 2025"
250258A,5,88.8,"May 23rd, 2025"
250258B,4.64,89.7,"May 23rd, 2025"
250259A,0.78,98,"May 23rd, 2025"
250259B,7.96,85.3,"May 23rd, 2025"
250260A,12.2,80.1,"May 23rd, 2025"
250260B,15,76.2,"May 23rd, 2025"
250262A,28.4,66.6,"May 23rd, 2025"
250262B,32.6,57.4,"May 23rd, 2025"
250308A,6.4,81.7,"May 29th, 2025"
250308B,6.13,82.7,"May 29th, 2025"
250309A,29,56.9,"May 29th, 2025"
250309B,27.6,58.7,"May 29th, 2025"
250310A,24.1,61,"May 29th, 2025"
250310B,25.8,59.3,"May 29th, 2025"
250314A,20,69.4,"May 29th, 2025"
250314B,18.2,70.8,"May 29th, 2025"
250315A,5.69,84.8,"May 29th, 2025"
250315B,5.39,86.3,"May 29th, 2025"
250316A,43.4,45.8,"May 29th, 2025"
250316B,44.5,44.3,"May 29th, 2025"
250318A,65.5,28.8,"May 29th, 2025"
250318B,65.1,29.3,"May 29th, 2025"
250319A,54,39.1,"May 29th, 2025"
250319B,54.1,38.5,"May 29th, 2025"
250322A,55.5,35.4,"May 29th, 2025"
250322B,54.6,35.9,"May 29th, 2025"
250323A,57.9,34.9,"May 29th, 2025"
250323B,59.1,34,"May 29th, 2025"
250324A,5.49,87.7,"May 29th, 2025"
250324B,5.15,88.2,"May 29th, 2025"
250325A,36.3,54.2,"May 29th, 2025"
250325B,38.8,51.4,"May 29th, 2025"
250326A,31.7,60.1,"May 29th, 2025"
250326B,35.7,55.1,"May 29th, 2025"
250327A,5.11,86.2,"May 29th, 2025"
250327B,4.58,87,"May 29th, 2025"
250328A,8.57,77,"May 29th, 2025"
250328B,8.88,76.4,"May 29th, 2025"
250311A,18,65.9,"May 30th, 2025"
250311B,18.3,66.2,"May 30th, 2025"
250312A,12.1,73.6,"May 30th, 2025"
250312B,12.6,72.9,"May 30th, 2025"
250313A,21.3,65.9,"May 30th, 2025"
250313B,16.9,71.1,"May 30th, 2025"
250317A,55.6,35.1,"May 30th, 2025"
250317B,54.7,35.7,"May 30th, 2025"
250320A,11.6,70,"May 30th, 2025"
250320B,13.4,66.1,"May 30th, 2025"
250321A,38.1,47.9,"May 30th, 2025"
250321B,36.3,50.3,"May 30th, 2025"
250329A,11.5,73.3,"May 30th, 2025"
240311A,5.65,85.5,"May 31, 2024"
240311B,5.35,86.9,"May 31, 2024"
240312A,16.4,73.5,"May 31, 2024"
240312B,15,74.9,"May 31, 2024"
240313A,24.8,64.1,"May 31, 2024"
240313B,22.7,66.5,"May 31, 2024"
240314A,67.7,27.9,"May 31, 2024"
240314B,65.7,29.5,"May 31, 2024"
240315A,52.8,41.3,"May 31, 2024"
240315B,53.8,40.9,"May 31, 2024"
240316A,5.51,85.9,"May 31, 2024"
240316B,5.23,87.1,"May 31, 2024"
240317A,7.51,83.5,"May 31, 2024"
240317B,8.03,83,"May 31, 2024"
240318A,39.4,50.6,"May 31, 2024"
240318B,38.2,51.9,"May 31, 2024"
240319A,40.5,50.2,"May 31, 2024"
240319B,40.4,50.2,"May 31, 2024"
240320A,68.1,27.5,"May 31, 2024"
240320B,64.9,30.4,"May 31, 2024"
240321A,69.7,26.4,"May 31, 2024"
240321B,68.6,27.7,"May 31, 2024"
240322A,29.5,62.1,"May 31, 2024"
240322B,27.6,63.7,"May 31, 2024"
240323A,65.4,29.4,"May 31, 2024"
240323B,65.9,28.7,"May 31, 2024"
240324A,74.3,22.2,"May 31, 2024"
240324B,74.5,22.1,"May 31, 2024"
240325A,73.9,23.3,"May 31, 2024"
240325B,72.8,24.1,"May 31, 2024"
240326A,74.6,22.7,"May 31, 2024"
240326B,73.1,24.8,"May 31, 2024"
250246A,70.6,25.8,"November 6th, 2025"
250247A,83.9,14.1,"November 6th, 2025"
250251A,71.7,23.2,"November 6th, 2025"
250252A,75.9,20.1,"November 6th, 2025"
250445A,75.3,21.4,"November 6th, 2025"
250449A,68.4,27.3,"November 6th, 2025"
250450A,81.2,17,"November 6th, 2025"
250467A,71.3,24.7,"November 6th, 2025"
250482A,68.6,26.4,"November 6th, 2025"
250483A,73.8,22.4,"November 6th, 2025"
250492A,75.4,22.5,"November 6th, 2025"
250497A,69.6,27.5,"November 6th, 2025"
250511A,72.9,23.8,"November 6th, 2025"
250203A,69.2,25.4,"October 16th, 2025"
250204A,75.7,20.3,"October 16th, 2025"
250208A,63,29.5,"October 16th, 2025"
250230A,53.6,37.1,"October 16th, 2025"
250231A,27.5,35.2,"October 16th, 2025"
250232A,37.1,40,"October 16th, 2025"
250233A,57.6,30.5,"October 16th, 2025"
250234A,74,22.1,"October 16th, 2025"
250234A,71.8,21.7,"October 16th, 2025"
250235A,67.3,26.5,"October 16th, 2025"
250238A,69.6,24.9,"October 16th, 2025"
250242A,63.8,28.8,"October 16th, 2025"
250243A,77.9,18.6,"October 16th, 2025"
250245A,51.1,38.6,"October 16th, 2025"
250250A,57,34,"October 16th, 2025"
250268A,61.9,31.7,"October 16th, 2025"
250269A,71,24.3,"October 16th, 2025"
250317A,51.8,39.3,"October 16th, 2025"
250444A,62.3,30.8,"October 16th, 2025"
250446A,71.7,24.6,"October 16th, 2025"
250475A,68.3,23.4,"October 16th, 2025"
250476A,66.4,23.8,"October 16th, 2025"
250477A,73.5,21,"October 16th, 2025"
250478A,75,20.3,"October 16th, 2025"
250481A,50.4,39,"October 16th, 2025"
250491A,63.4,30.2,"October 16th, 2025"
250496A,67,27.2,"October 16th, 2025"
250509A,62.1,32,"October 16th, 2025"
250520A,58.7,35,"October 16th, 2025"
250525A,67,27.9,"October 16th, 2025"
250526A,70.6,26.2,"October 16th, 2025"
251510A,51.2,40.1,"October 16th, 2025"
250396B,100,0,TEST
